Tempo,Luz
1018,
1744,27.34
1744,28.32
1760,27.34
1776,27.34
1776,26.37
1791,27.34
1807,27.34
1818,27.34
1830,26.37
1838,27.34
1853,26.37
1853,27.34
1869,29.30
1869,31.25
1885,40.04
1907,38.09
1916,41.99
1928,47.85
1936,58.59
1937,48.83
1953,46.88
1968,46.88
1968,44.92
1984,40.04
1984,34.18
1999,31.25
2015,30.27
2015,31.25
2035,29.30
2035,28.32
2051,27.34
2067,26.37
2082,28.32
2082,26.37
2098,26.37
2116,27.34
2124,26.37
2136,28.32
2144,26.37
2156,28.32
2165,31.25
2170,42.97
2185,40.04
2185,43.95
2201,47.85
2217,56.64
2217,48.83
2237,45.90
2237,41.99
2253,45.90
2268,37.11
2268,33.20
2284,29.30
2300,28.32
2300,30.27
2315,30.27
2331,29.30
2331,28.32
2346,28.32
2362,28.32
2362,26.37
2378,27.34
2393,26.37
2393,25.39
2409,27.34
2425,27.34
2425,29.30
2446,33.20
2450,38.09
2466,41.02
2466,44.92
2481,54.69
2497,52.73
2512,45.90
2512,46.88
2528,44.92
2528,42.97
2544,34.18
2559,32.23
2575,28.32
2575,28.32
2591,29.30
2606,29.30
2606,28.32
2627,26.37
2635,27.34
2647,28.32
2656,27.34
2661,27.34
2676,27.34
2676,27.34
2692,26.37
2708,28.32
2708,30.27
2723,39.06
2739,38.09
2739,41.99
2755,46.88
2770,54.69
2770,50.78
2786,45.90
2801,46.88
2801,44.92
2817,38.09
2833,32.23
2833,28.32
2848,28.32
2864,29.30
2864,29.30
2886,28.32
2898,26.37
2904,26.37
2904,26.37
2920,27.34
2935,26.37
2951,27.34
2951,26.37
2967,26.37
2967,27.34
2982,29.30
2998,31.25
2998,41.99
3014,39.06
3029,41.99
3045,48.83
3045,54.69
3060,49.80
3060,45.90
3076,46.88
3099,44.92
3107,36.13
3119,32.23
3128,29.30
3140,29.30
3148,29.30
3149,29.30
3165,29.30
3180,27.34
3180,27.34
3196,27.34
3211,27.34
3211,26.37
3227,26.37
3243,26.37
3243,26.37
3258,26.37
3274,29.30
3274,33.20
3290,39.06
3305,40.04
3305,44.92
3321,53.71
3336,52.73
3336,45.90
3352,47.85
3368,45.90
3368,41.99
3383,35.16
3399,30.27
3399,29.30
3422,28.32
3428,29.30
3432,29.30
3448,28.32
3464,26.37
3464,27.34
3479,28.32
3495,28.32
3495,27.34
3511,26.37
3511,26.37
3526,27.34
3542,28.32
3557,30.27
3557,38.09
3573,38.09
3573,41.02
3589,45.90
3604,56.64
3604,47.85
3629,43.95
3637,45.90
3649,43.95
3649,38.09
3665,32.23
3681,29.30
3681,28.32
3696,29.30
3712,28.32
3712,27.34
3728,27.34
3743,26.37
3743,27.34
3759,26.37
3774,27.34
3774,27.34
3790,26.37
3806,27.34
3806,26.37
3821,29.30
3837,32.23
3845,42.97
3861,40.04
3861,43.95
3877,49.80
3892,54.69
3892,50.78
3908,46.88
3908,43.95
3924,44.92
3939,37.11
3955,31.25
3955,28.32
3970,27.34
3970,28.32
3986,29.30
